"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","1000770015","1001187","Manhattan","1502",,"1","1","0","Filed","1","107124","1","102327.4","40.709238","-74.006738","179.03","Battery Park City-Lower Manhattan                                          ","1000770015","Office","174","1001187","118000","Manual","9796.3","11830.2","WILLIAM STREET","130","102327.4","9716.4","11734.2","10038"
"Yes","1000780001","1001192","Manhattan","1502",,"1","1","161.4","Filed","1","76988","Not Available","196.5","40.709359","-74.006644","Not Available","Battery Park City-Lower Manhattan                                          ","1000780001","Multifamily Housing","175","1001192","62462","None","87.3","172.5","WILLIAM STREET","135","357.9","85.9","171","10038"
"No","1000787507","1001193","Manhattan","1502",,"1","1","26.7","Filed","1","97798","Not Available","770.5","40.708763","-74.007243","Not Available","Battery Park City-Lower Manhattan                                          ","1000787507","Multifamily Housing","178","1001193","105948","None","89.9","178.8","WILLIAM STREET","111","797.2","89.1","177.2","10038"
"No","1000797503","1001215","Manhattan","1502",,"1","1","100.7","Filed","1","73121","Not Available","325.6","40.709639","-74.008325","Not Available","Battery Park City-Lower Manhattan                                          ","1000797503","Multifamily Housing","181","1001215","89276","None","66.1","163.1","NASSAU STREET","71","426.3","65.3","161.4","10038"
"Yes","1000790010","1001216","Manhattan","1502",,"1","1","149.7","Filed","1","107243","Not Available","261.5","40.709916","-74.008949","53.81","Battery Park City-Lower Manhattan                                          ","1000790010","Multifamily Housing","179","1001216","112605","ABS","53.6","115.9","JOHN STREET","17","411.2","53.2","114.7","10038"
"Yes",,,"Queens",,,,,,"No Submission Matched to BBL","1","59000",,,,,,,"4026030040",,"14385",,"#N/A","None",,,"49 STREET","57-13",,,,"11378"
"N/A","1-00080-0001","1001227","Manhattan","13",,"1","1","0","Filed","1","1052861","77","6873.9","40.710536","-74.009378","Not Available","Battery Park City-Lower Manhattan                                          ","1000800001","Office","182","1001227","927967","None","87.6","199.1","BROADWAY            ","195","6873.9","86.3","197.5","10007"
"No","1000860001","1001230","Manhattan","21",,"1","1","0","Filed","1","1154357","92","6253.9","40.712586","-74.009775","12.46","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1000860001","Office","184","1001230","1234704","Manual","60.8","159","CHURCH STREET","90","6253.9","60","157.8","10007"
"No","1-00088-0005","1001235","Manhattan","21",,"1","1","360.5","Filed","1","80298","74","335.8","40.711843","-74.009562","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1000880005","Office","185","1001235","96154","None","92.7","185.1","VESEY STREET","20","696.3","91.3","181.4","10007"
"No","1000880010","1001237","Manhattan","21",,"1","1","0","Filed","1","71959","Not Available",,"40.711977","-74.009865","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1000880010","Office","186","1001237","77000","None",,,"VESEY STREET","30",,"Not Available","Not Available","10007"
"No","1000880018","1001241","Manhattan","21",,"1","1","1891.6","Filed","1","480831","80","1712.7","40.71187","-74.008217","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1000880018","Office","188","1001241","461731","None","101.1","199.3","BROADWAY","225","3604.3","Not Available","Not Available","10007"
"No","1-00089-0012","1001245","Manhattan","1501",,"1","1","0","Filed","1","756138","82","6186.7","40.710959","-74.008982","Not Available","Battery Park City-Lower Manhattan                                          ","1000890012","Office","189","1001245","761215","None","98.1","269.3","BROADWAY","212","6186.7","97.6","268.7","10038"
"No","1000907501","1001249","Manhattan","1501",,"1","1","932.1","Filed","1","343000","Not Available","1043.8","40.711508","-74.007679","Not Available","Battery Park City-Lower Manhattan                                          ","1000907501","Multifamily Housing","190","1001249","336447","None","79.2","161.8","PARK ROW","15","1975.9","Not Available","Not Available","10038"
"No","1-00091-7502","1001263","Manhattan","1501",,"1","1","0","Filed","1","221213","Not Available","1017.8","40.709749","-74.006792","Not Available","Battery Park City-Lower Manhattan                                          ","1000917502","Multifamily Housing","191","1001263","176514","None","68","149.6","FULTON STREET","111","1017.8","67.9","149.5","10038"
"N/A","Not Available",,"Staten Island",,,,,"0","No BBL on submission",,,"1","360031.8",,,"Not Available",,,"Financial Office","12413","1-01289-0028","174040","N/A","33892.5","40916.1",,,"360031.8","Not Available","Not Available",
"No","1000920005","1001269","Manhattan","1501",,"1","1","0","Filed","1","177433","Not Available","1152.7","40.710059","-74.005955","Not Available","Battery Park City-Lower Manhattan                                          ","1000920005","College/University","192","1001269;1001270","187518","None","73.5","184.6","WILLIAM STREET","161","1152.7","72.5","183.6","10038"
"N/A","1000920034",,"Manhattan",,,,,"34.2","Not on Covered Buildings List",,,"Not Available","35.9",,,"Not Available",,"1000920034","Multifamily Housing","14812","1001279","36246","None","30","56.9",,,"70.1","29.7","56.3",
"N/A","1000930001",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"82","5178.7",,,"Not Available",,"1000930001","Office","14813","1001280","587831","None","102.5","194.2",,,"5178.7","102.5","194.4",
"No","1-00095-0027","1001290","Manhattan","1501",,"1","1","1030.5","Filed","1","208576","Not Available","416.3","40.708179","-74.00462","90.92","Battery Park City-Lower Manhattan                                          ","1000950027","Multifamily Housing","194","1001290","223674","Manual","109.7","163","FULTON STREET","49","1446.8","109","162","10038"
"No","1001000001","1001352","Manhattan","1501",,"1","1","28.8","Filed","1","301941","Not Available",,"40.709982","-74.005151","Not Available","Battery Park City-Lower Manhattan                                          ","1001000001","Hospital (General Medical & Surgical)","195","1001352","340154","None",,,"BEEKMAN STREET","52",,"Not Available","Not Available","10038"
"No","1001000001","1001352","Manhattan","1501",,"1","1","28.8","Filed","1","301941","Not Available",,"40.709982","-74.005151","Not Available","Battery Park City-Lower Manhattan                                          ","1001000001","Hospital (General Medical & Surgical)","196","1001352","340154","None",,,"BEEKMAN STREET","52",,"Not Available","Not Available","10038"
"No","1001000026","1001354","Manhattan","1501",,"1","1","256.3","Filed","1","79422","Not Available","138.3","40.711288","-74.006374","Not Available","Battery Park City-Lower Manhattan                                          ","1001000026","Multifamily Housing","197","1001354","79422","None","82.2","131","NASSAU STREET","138","394.6","81.8","130.3","10038"
"No","1001500038","1001649","Manhattan","33",,"1","1","798","Filed","1","128940","Not Available","0","40.714824","-74.005779","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001500038","Office","237","1001649","128940","None",,,"BROADWAY","291","798","Not Available","Not Available","10007"
"No","1001010001","1001355","Manhattan","1501",,"1","1","188.8","Filed","1","111685","Not Available","127","40.711763","-74.006857","Not Available","Battery Park City-Lower Manhattan                                          ","1001010001","Multifamily Housing","199","1001355","111685","None","45.8","77.3","PARK ROW","36","315.8","Not Available","Not Available","10038"
"No","1001137501","1001389","Manhattan","29",,"1","1","0","Filed","1","822318","39","6713","40.710207","-74.001125","Not Available","Chinatown                                                                  ","1001137501","Office","203","1001389","1120000","None","72.4","199.8","PEARL STREET","375","6713","72.3","199.6","10038"
"No","1001240024","1001408","Manhattan","21",,"1","1","0","Filed","1","541195","Not Available",,"40.712982","-74.007301","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001240024","Other","207","1001408","Not Available","None",,,"BROADWAY","250",,"Not Available","Not Available","10007"
"No","1001250020","1001409","Manhattan","21",,"1","1","0","Filed","1","918240","85","6548","40.712968","-74.00949","13.81","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001250020","Office","208","1001409","1018237","Manual","76.2","177.6","CHURCH STREET","100","6548","75.4","176.6","10007"
"N/A","1001270018",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"Not Available","4136.1",,,"Not Available",,"1001270018","Office","14815","1001415","507000","None","99.4","293.6",,,"4136.1","99.4","293.6",
"Yes","1001327503","1001421","Manhattan","21",,"1","1","121.4","Filed","1","60415","Not Available","148.5","40.714582","-74.010569","27.34","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001327503","Multifamily Housing","210","1001421","55672","ABS","73.9","146.1","MURRAY STREET","71","269.9","72.7","144.9","10007"
"N/A","1-00134-7503",,"Manhattan",,,,,"420","Not on Covered Buildings List",,,"Not Available","308.8",,,"Not Available",,"1001347503","Multifamily Housing","14816","1001446","103130","None","91.6","171",,,"728.8","89.7","169.1",
"No","1001347505","1001451","Manhattan","21",,"1","1","659.5","Filed","1","144330","Not Available","422.7","40.713588","-74.008361","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001347505","Multifamily Housing","212","1001451","151457","None","92.3","166.3","MURRAY STREET","25","1082.2","92.3","166.3","10007"
"Yes","1001357501","1001473","Manhattan","21",,"1","1","483.7","Filed","1","122000","Not Available","236","40.713696","-74.00672","14.99","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001357501","Multifamily Housing","213","1001473","122000","ABS","77.7","129.2","BROADWAY","261","719.7","77.1","128.3","10007"
"Yes","1-00137-0005","1001488","Manhattan","21",,"1","1","147.1","Filed","1","70000","Not Available","104.6","40.715103","-74.010003","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001370005","Multifamily Housing","218","1001488","70000","None","58","99.2","WARREN STREET","76","251.7","57.5","98.3","10007"
"Yes","1-00140-7505","1001505","Manhattan","21",,"1","1","76.8","Filed","1","92418","Not Available","365.4","40.715987","-74.010248","37.42","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001407505","Multifamily Housing","223","1001505","92408","ABS","64.3","169","CHAMBERS STREET","157","442.2","63.7","167.4","10007"
"Yes","1-00141-7504","1001531","Manhattan","39",,"1","1","273.4","Filed","1","107300","Not Available","260.1","40.717036","-74.009354","44.61","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001417504","Multifamily Housing","224","1001531","111592","ABS","74.8","138.4","DUANE STREET","166","533.5","74.5","138.2","10013"
"N/A","1001420100","1001542","Manhattan","21",,"1","1","583.5","Filed","1","145525","Not Available","568.4","40.715065","-74.012239","26.38","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001420100","College/University","225","1001542","143091","None","125.6","233.9","MURRAY STREET       ","101","1151.9","Not Available","Not Available","10007"
"Yes","1001430001","1001543","Manhattan","39",,"1","1","144.3","Filed","1","77630","Not Available","180.9","40.717316","-74.009062","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001430001","Multifamily Housing","228","1001543","77630","ABS","63.7","126.7","HUDSON STREET","47","325.2","63.4","126","10013"
"Yes","1-00143-0004","1001544","Manhattan","39",,"1","1","181.3","Filed","1","103750","Not Available","172.3","40.717648","-74.009004","1.95","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001430004","Multifamily Housing","229","1001544","103768","ABS","53.3","98.7","HUDSON STREET","55","353.6","52.9","97.9","10013"
